time_ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
0,0,0,0,0,0,0,0,0
10,0,1,0,1,0,0,0,0
20,0,2,0,2,0,0,0,0
30,0,3,0,3,0,0,0,0
40,0,3,0,4,0,0,0,0
50,0,4,0,5,1,0,0,0
60,1,5,0,6,1,0,0,0
70,1,6,0,7,1,0,0,0
80,1,7,0,8,2,0,0,0
90,1,8,0,9,2,0,0,0
100,2,8,0,10,3,0,0,0
110,2,9,0,11,3,0,0,0
120,2,10,0,12,4,0,0,0
130,3,11,0,13,5,0,0,0
140,3,12,0,14,5,0,0,0
150,4,13,0,15,6,0,0,0
160,4,14,1,16,7,0,0,0
170,5,14,1,17,8,0,0,0
180,5,15,1,18,9,0,0,0
190,6,16,1,19,10,0,0,0
200,6,17,1,20,11,0,0,0
210,7,18,1,21,12,0,0,0
220,8,19,1,22,13,0,0,0
230,8,20,1,23,15,0,0,0
240,9,20,1,24,16,0,0,0
250,10,21,1,25,17,0,0,0
260,10,22,1,26,18,0,0,0
270,11,23,1,27,20,0,0,0
280,12,24,2,28,21,0,0,0
290,13,25,2,29,23,0,0,0
300,14,26,2,30,24,0,0,0
310,15,26,2,31,26,0,0,0
320,16,27,2,32,28,0,0,0
330,17,28,2,33,29,0,0,0
340,18,29,2,34,31,0,0,0
350,19,30,2,35,33,0,0,0
360,20,31,3,36,35,0,0,0
370,21,31,3,37,36,0,0,0
380,22,32,3,38,38,0,0,0
390,23,33,3,39,40,0,0,0
400,24,34,3,40,42,0,0,0
410,26,35,3,41,44,0,0,0
420,27,36,3,42,46,0,0,0
430,28,37,4,43,48,0,0,0
440,29,37,4,44,50,0,0,0
450,31,38,4,45,53,0,0,0
460,32,39,4,46,55,0,0,0
470,33,40,4,47,57,0,0,0
480,35,41,5,48,59,0,0,0
490,36,42,5,49,61,0,0,0
500,37,42,5,50,64,0,0,0
510,39,43,5,51,66,0,0,0
520,40,44,5,52,68,0,0,0
530,42,45,6,53,71,0,0,0
540,43,46,6,54,73,0,0,0
550,45,47,6,55,76,0,0,0
560,46,48,6,56,78,0,0,0
570,48,48,6,57,81,0,0,0
580,49,49,7,58,83,0,0,0
590,51,50,7,59,86,0,0,0
600,53,51,7,60,88,0,0,0
610,54,52,7,61,91,0,0,0
620,56,53,8,61,93,0,0,0
630,57,54,8,62,96,0,0,0
640,59,54,8,63,98,0,0,0
650,61,55,8,64,101,0,0,0
660,63,56,9,65,104,0,0,0
670,64,57,9,66,106,0,0,0
680,66,58,9,67,109,0,0,0
690,68,59,9,68,112,0,0,0
700,70,60,10,69,114,0,0,0
710,71,60,10,70,117,0,0,0
720,73,61,10,71,119,0,0,0
730,75,62,10,72,122,0,0,0
740,77,63,11,73,125,0,0,0
750,79,64,11,74,127,0,0,0
760,81,65,11,75,130,0,0,0
770,82,65,12,76,133,0,0,0
780,84,66,12,77,136,0,0,0
790,86,67,12,78,138,0,0,0
800,88,68,12,79,141,0,0,0
810,90,69,13,80,143,0,0,0
820,92,70,13,81,146,0,0,0
830,94,71,13,82,149,0,0,0
840,96,71,14,83,151,0,0,0
850,98,72,14,84,154,0,0,0
860,100,73,14,84,157,0,0,0
870,102,74,15,85,159,0,0,0
880,104,75,15,86,162,0,0,0
890,106,76,15,87,164,0,0,0
900,108,76,16,88,167,0,0,0
910,110,77,16,89,169,0,0,0
920,112,78,16,90,172,0,0,0
930,114,79,17,91,174,0,0,0
940,116,80,17,92,177,0,0,0
950,117,81,18,93,179,0,0,0
960,119,82,18,94,182,0,0,0
970,121,82,18,95,184,0,0,0
980,123,83,19,96,187,0,0,0
990,125,84,19,97,189,0,0,0
1000,127,85,19,98,191,0,0,0
1010,130,86,20,99,194,0,0,0
1020,132,87,20,99,196,0,0,0
1030,134,88,21,100,198,0,0,0
1040,136,88,21,101,200,0,0,0
1050,138,89,21,102,202,0,0,0
1060,139,90,22,103,205,0,0,0
1070,141,91,22,104,207,0,0,0
1080,143,92,23,105,209,0,0,0
1090,145,93,23,106,211,0,0,0
1100,147,94,23,107,213,0,0,0
1110,149,94,24,108,215,0,0,0
1120,151,95,24,109,217,0,0,0
1130,153,96,25,109,219,0,0,0
1140,155,97,25,110,220,0,0,0
1150,157,98,26,111,222,0,0,0
1160,159,99,26,112,224,0,0,0
1170,161,99,26,113,226,0,0,0
1180,163,100,27,114,227,0,0,0
1190,165,101,27,115,229,0,0,0
1200,167,102,28,116,231,0,0,0
1210,169,103,28,117,232,0,0,0
1220,171,104,29,118,234,0,0,0
1230,173,105,29,118,235,0,0,0
1240,174,105,30,119,237,0,0,0
1250,176,106,30,120,238,0,0,0
1260,178,107,31,121,239,0,0,0
1270,180,108,31,122,240,0,0,0
1280,182,109,32,123,242,0,0,0
1290,184,110,32,124,243,0,0,0
1300,185,110,33,125,244,0,0,0
1310,187,111,33,125,245,0,0,0
1320,189,112,33,126,246,0,0,0
1330,191,113,34,127,247,0,0,0
1340,192,114,34,128,248,0,0,0
1350,194,115,35,129,249,0,0,0
1360,196,116,36,130,250,0,0,0
1370,198,116,36,131,250,0,0,0
1380,199,117,37,132,251,0,0,0
1390,201,118,37,132,252,0,0,0
1400,202,119,38,133,252,0,0,0
1410,204,120,38,134,253,0,0,0
1420,206,121,39,135,253,0,0,0
1430,207,122,39,136,254,0,0,0
1440,209,122,40,137,254,0,0,0
1450,210,123,40,137,254,0,0,0
1460,212,124,41,138,255,0,0,0
1470,213,125,41,139,255,0,0,0
1480,215,126,42,140,255,0,0,0
1490,216,127,42,141,255,0,0,0
1500,218,128,43,142,255,0,0,0
1510,219,128,44,143,255,0,0,0
1520,220,129,44,143,255,0,0,0
1530,222,130,45,144,255,0,0,0
1540,223,131,45,145,255,0,0,0
1550,224,132,46,146,254,0,0,0
1560,226,133,46,147,254,0,0,0
1570,227,133,47,147,254,0,0,0
1580,228,134,48,148,253,0,0,0
1590,229,135,48,149,253,0,0,0
1600,231,136,49,150,252,0,0,0
1610,232,137,49,151,252,0,0,0
1620,233,138,50,152,251,0,0,0
1630,234,139,50,152,250,0,0,0
1640,235,139,51,153,250,0,0,0
1650,236,140,52,154,249,0,0,0
1660,237,141,52,155,248,0,0,0
1670,238,142,53,155,247,0,0,0
1680,239,143,54,156,246,0,0,0
1690,240,144,54,157,245,0,0,0
1700,241,144,55,158,244,0,0,0
1710,242,145,55,159,243,0,0,0
1720,243,146,56,159,242,0,0,0
1730,244,147,57,160,240,0,0,0
1740,245,148,57,161,239,0,0,0
1750,245,149,58,162,238,0,0,0
1760,246,150,59,163,237,0,0,0
1770,247,150,59,163,235,0,0,0
1780,247,151,60,164,234,0,0,0
1790,248,152,60,165,232,0,0,0
1800,249,153,61,166,231,0,0,0
1810,249,154,62,166,229,0,0,0
1820,250,155,62,167,227,0,0,0
1830,250,156,63,168,226,0,0,0
1840,251,156,64,169,224,0,0,0
1850,251,157,64,169,222,0,0,0
